dataset,case,yml_path,boogie_path,boogie_exists,template_type,template_depth,svm_mode,error
c_bench_term,ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.bpl,yes,lnested,2,lnested,SVMRanker execution exception: Symbolic expressions cannot be cast to concrete Boolean values.
c_bench_term,Gothenburg_v3_false-no-overflow_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/Gothenburg_v3_false-no-overflow_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/Gothenburg_v3_false-no-overflow.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,Gothenburg_v4_false-no-overflow_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/Gothenburg_v4_false-no-overflow_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/Gothenburg_v4_false-no-overflow.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif1_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif1_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif1.bpl,yes,lnested,2,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif2_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif2_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif2.bpl,yes,lnested,2,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,PodelskiRybalchenko-LICS2004-Fig2_true-termination-simpl_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/PodelskiRybalchenko-LICS2004-Fig2_true-termination-simpl_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination-simpl.bpl,yes,lmulti,1,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,PodelskiRybalchenko-LICS2004-Fig2_true-termination_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/PodelskiRybalchenko-LICS2004-Fig2_true-termination_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/PodelskiRybalchenko-LICS2004-Fig2_true-termination.bpl,yes,lnested,2,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,Problem00_label00_true-unreach-call-toy_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/Problem00_label00_true-unreach-call-toy_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/Problem00_label00_true-unreach-call-toy.bpl,yes,lmulti,1,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,determ_term_6_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/determ_term_6_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/determ_term_6.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,eca_bounded_core_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/eca_bounded_core_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/eca_bounded_core.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,nonlin_jump_over_1_term_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/nonlin_jump_over_1_term_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/nonlin_jump_over_1_term.bpl,yes,lnested,2,lnested,SVMRanker execution exception: 'NoneType' object is not subscriptable
c_bench_term,term_02_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/term_02_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/term_02.bpl,yes,lnested,2,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,term_03_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/term_03_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/term_03.bpl,yes,lnested,2,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,term_16_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/term_16_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/term_16.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_term,term_17_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/term_17_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/term_17.bpl,yes,lmulti,2,lmulti,SVMRanker execution exception: Z3 integer expression expected
c_bench_term,term_26_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_term/failed/term_26_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_term/term_26.bpl,yes,lmulti,2,lmulti,SVMRanker execution exception: Z3 integer expression expected
c_bench_nonterm,ComplInterv2_false-termination_true-no-overflow_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/ComplInterv2_false-termination_true-no-overflow_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/ComplInterv2_false-termination_true-no-overflow.bpl,yes,lnested,1,lnested,SVMRanker execution exception: Symbolic expressions cannot be cast to concrete Boolean values.
c_bench_nonterm,MirrorIntervSim_false-termination_true-no-overflow_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/MirrorIntervSim_false-termination_true-no-overflow_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/MirrorIntervSim_false-termination_true-no-overflow.bpl,yes,lnested,1,lnested,SVMRanker execution exception: Symbolic expressions cannot be cast to concrete Boolean values.
c_bench_nonterm,NonTerminationSimple5_false-termination_true-valid-memsafety-version_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/NonTerminationSimple5_false-termination_true-valid-memsafety-version_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/NonTerminationSimple5_false-termination_true-valid-memsafety-version.bpl,yes,lmulti,1,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,NonTerminationSimple5_false-termination_true-valid-memsafety_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/NonTerminationSimple5_false-termination_true-valid-memsafety_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/NonTerminationSimple5_false-termination_true-valid-memsafety.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,PodelskiRybalchenko-TACAS2011-broken-Fig3_true-termination_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/PodelskiRybalchenko-TACAS2011-broken-Fig3_true-termination_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/PodelskiRybalchenko-TACAS2011-broken-Fig3_true-termination.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,Problem00_label00_true-unreach-call-nonterm-toy_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/Problem00_label00_true-unreach-call-nonterm-toy_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/Problem00_label00_true-unreach-call-nonterm-toy.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,Swingers_false-termination_true-no-overflow-version-1_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/Swingers_false-termination_true-no-overflow-version-1_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/Swingers_false-termination_true-no-overflow-version-1.bpl,yes,lnested,2,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,Swingers_false-termination_true-no-overflow-version-2_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/Swingers_false-termination_true-no-overflow-version-2_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/Swingers_false-termination_true-no-overflow-version-2.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_dec_2_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_dec_2_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_dec_2.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_dec_3_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_dec_3_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_dec_3.bpl,yes,lmulti,3,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_dec_4_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_dec_4_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_dec_4.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_div_1_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_div_1_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_div_1.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_div_2_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_div_2_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_div_2.bpl,yes,lmulti,1,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_div_3_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_div_3_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_div_3.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_eq_2_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_eq_2_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_eq_2.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,choices_eq_2_nondet_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/choices_eq_2_nondet_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/choices_eq_2_nondet.bpl,yes,lmulti,2,lmulti,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,eca_core_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/eca_core_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/eca_core.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,nonlin_div_nonterm_2_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/nonlin_div_nonterm_2_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/nonlin_div_nonterm_2.bpl,yes,lnested,2,lnested,SVMRanker execution exception: Input X contains NaN.
c_bench_nonterm,nterm_09_cex_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/nterm_09_cex_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/nterm_09_cex.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,nterm_ever_10_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/nterm_ever_10_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/nterm_ever_10.bpl,yes,lnested,1,lnested,"SVMRanker execution exception: invalid syntax (OneLoop.py, line 3)"
c_bench_nonterm,nterm_ever_12_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/nterm_ever_12_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/nterm_ever_12.bpl,yes,lmulti,2,lmulti,SVMRanker execution exception: Z3 integer expression expected
c_bench_nonterm,nterm_ever_13_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/nterm_ever_13_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/nterm_ever_13.bpl,yes,lmulti,2,lmulti,SVMRanker execution exception: Z3 integer expression expected
c_bench_nonterm,nterm_ever_14_inv_ranking_svm,results/aeval/svmranker_results_0110/c_bench_nonterm/failed/nterm_ever_14_inv_ranking_svm.yml,/home/clexma/Desktop/fox3/TermDB/TerminationDatabase/Data_boogie/aeval/c_bench_nonterm/nterm_ever_14.bpl,yes,lnested,2,lnested,SVMRanker execution exception: Symbolic expressions cannot be cast to concrete Boolean values.
